Month,Oil_BOPD,Oil_Monthly_BBL,Oil_Cum_BBL,Gas_MCFD,Gas_Monthly_MCF,Gas_Cum_MCF,NGL_BPD,NGL_Monthly_BBL,NGL_Cum_BBL
1,391.3348,11912.23,11912.23,987.5702,30061.64,30061.64,49.3785,1503.08,1503.08
2,364.8887,11107.21,23019.44,928.5479,28265.00,58326.63,46.4274,1413.25,2916.33
3,342.0797,10412.91,33432.35,877.0547,26697.55,85024.18,43.8527,1334.88,4251.21
4,322.1888,9807.43,43239.78,831.6882,25316.59,110340.77,41.5844,1265.83,5517.04
5,304.6766,9274.36,52514.13,791.3793,24089.59,134430.36,39.5690,1204.48,6721.52
6,289.1304,8801.13,61315.26,755.2977,22991.26,157421.62,37.7649,1149.56,7871.08
7,275.2287,8377.96,69693.22,722.7883,22001.67,179423.29,36.1394,1100.08,8971.16
8,262.7173,7997.11,77690.34,693.3268,21104.87,200528.16,34.6663,1055.24,10026.41
9,251.3925,7652.39,85342.73,666.4884,20287.91,220816.07,33.3244,1014.40,11040.80
10,241.0889,7338.75,92681.47,641.9252,19540.20,240356.27,32.0963,977.01,12017.81
11,231.6708,7052.06,99733.53,619.3489,18852.98,259209.25,30.9674,942.65,12960.46
12,223.0259,6788.91,106522.44,598.5191,18218.92,277428.17,29.9260,910.95,13871.41
13,215.0603,6546.44,113068.88,579.2331,17631.85,295060.03,28.9617,881.59,14753.00
14,207.6949,6322.23,119391.11,561.3190,17086.55,312146.57,28.0659,854.33,15607.33
15,200.8626,6114.26,125505.37,544.6299,16578.53,328725.11,27.2315,828.93,16436.26
16,194.5059,5920.76,131426.13,529.0397,16103.97,344829.08,26.4520,805.20,17241.45
17,188.5757,5740.24,137166.37,514.4391,15659.53,360488.60,25.7220,782.98,18024.43
18,183.0292,5571.41,142737.78,500.7332,15242.32,375730.92,25.0367,762.12,18786.55
19,177.8293,5413.12,148150.90,487.8391,14849.82,390580.74,24.3920,742.49,19529.04
20,172.9437,5264.41,153415.31,475.6839,14479.82,405060.56,23.7842,723.99,20253.03
21,168.3441,5124.39,158539.71,464.2035,14130.35,419190.92,23.2102,706.52,20959.55
22,164.0052,4992.32,163532.02,453.3409,13799.70,432990.61,22.6670,689.98,21649.53
23,159.9050,4867.51,168399.53,443.0458,13486.31,446476.93,22.1523,674.32,22323.85
24,156.0237,4749.36,173148.89,433.2729,13188.83,459665.75,21.6636,659.44,22983.29
25,152.3438,4637.35,177786.24,423.9821,12906.02,472571.77,21.1991,645.30,23628.59
26,148.8496,4530.98,182317.22,415.1371,12636.77,485208.54,20.7569,631.84,24260.43
27,145.5270,4429.84,186747.06,406.7053,12380.11,497588.65,20.3353,619.01,24879.43
28,142.3633,4333.54,191080.60,398.6572,12135.12,509723.78,19.9329,606.76,25486.19
29,139.3471,4241.73,195322.33,390.9662,11901.01,521624.79,19.5483,595.05,26081.24
30,136.4680,4154.09,199476.41,383.6082,11677.03,533301.82,19.1804,583.85,26665.09
31,133.7166,4070.33,203546.75,376.5611,11462.52,544764.34,18.8281,573.13,27238.22
32,131.0843,3990.21,207536.95,369.8048,11256.86,556021.20,18.4902,562.84,27801.06
33,128.5634,3913.47,211450.42,363.3209,11059.49,567080.69,18.1660,552.97,28354.03
34,126.1468,3839.91,215290.33,357.0927,10869.90,577950.59,17.8546,543.50,28897.53
35,123.8279,3769.32,219059.65,351.1047,10687.63,588638.21,17.5552,534.38,29431.91
36,121.6008,3701.53,222761.18,345.3427,10512.23,599150.45,17.2671,525.61,29957.52
37,119.4599,3636.36,226397.54,339.7937,10343.32,609493.77,16.9897,517.17,30474.69
38,117.4002,3573.66,229971.20,334.4455,10180.52,619674.29,16.7223,509.03,30983.71
39,115.4171,3513.30,233484.50,329.2871,10023.50,629697.79,16.4644,501.17,31484.89
40,113.5062,3455.13,236939.62,324.3081,9871.94,639569.73,16.2154,493.60,31978.49
41,111.6635,3399.04,240338.66,319.4989,9725.55,649295.27,15.9749,486.28,32464.76
42,109.8854,3344.91,243683.57,314.8506,9584.05,658879.33,15.7425,479.20,32943.97
43,108.1684,3292.65,246976.22,310.3550,9447.21,668326.53,15.5177,472.36,33416.33
