Month,Oil_BOPD_per_ft,Oil_Monthly_BBL_per_ft,Oil_Cum_BBL_per_ft,Gas_MCFD_per_ft,Gas_Monthly_MCF_per_ft,Gas_Cum_MCF_per_ft,NGL_BPD_per_ft,NGL_Monthly_BBL_per_ft,NGL_Cum_BBL_per_ft
1,0.0371,1.13,1.13,0.0935,2.85,2.85,0.0047,0.14,0.14
2,0.0346,1.05,2.18,0.0879,2.68,5.52,0.0044,0.13,0.28
3,0.0324,0.99,3.17,0.0831,2.53,8.05,0.0042,0.13,0.40
4,0.0305,0.93,4.09,0.0788,2.40,10.45,0.0039,0.12,0.52
5,0.0289,0.88,4.97,0.0749,2.28,12.73,0.0037,0.11,0.64
6,0.0274,0.83,5.81,0.0715,2.18,14.91,0.0036,0.11,0.75
7,0.0261,0.79,6.60,0.0684,2.08,16.99,0.0034,0.10,0.85
8,0.0249,0.76,7.36,0.0657,2.00,18.99,0.0033,0.10,0.95
9,0.0238,0.72,8.08,0.0631,1.92,20.91,0.0032,0.10,1.05
10,0.0228,0.69,8.78,0.0608,1.85,22.76,0.0030,0.09,1.14
11,0.0219,0.67,9.44,0.0587,1.79,24.55,0.0029,0.09,1.23
12,0.0211,0.64,10.09,0.0567,1.73,26.27,0.0028,0.09,1.31
13,0.0204,0.62,10.71,0.0549,1.67,27.94,0.0027,0.08,1.40
14,0.0197,0.60,11.31,0.0532,1.62,29.56,0.0027,0.08,1.48
15,0.0190,0.58,11.88,0.0516,1.57,31.13,0.0026,0.08,1.56
16,0.0184,0.56,12.45,0.0501,1.52,32.65,0.0025,0.08,1.63
17,0.0179,0.54,12.99,0.0487,1.48,34.14,0.0024,0.07,1.71
18,0.0173,0.53,13.52,0.0474,1.44,35.58,0.0024,0.07,1.78
19,0.0168,0.51,14.03,0.0462,1.41,36.99,0.0023,0.07,1.85
20,0.0164,0.50,14.53,0.0450,1.37,38.36,0.0023,0.07,1.92
21,0.0159,0.49,15.01,0.0440,1.34,39.70,0.0022,0.07,1.98
22,0.0155,0.47,15.49,0.0429,1.31,41.00,0.0021,0.07,2.05
23,0.0151,0.46,15.95,0.0420,1.28,42.28,0.0021,0.06,2.11
