"County","Township","Range","Section","NMA","","","","","",""
"Custer","12N","14W","4","8.0","","","","","",""
"Custer","12N","16W","2","6.0","","","","","",""
"Custer","12N","16W","4","27.8","","","","","",""
"Custer","12N","17W","5","57.4","","","13N-19W","2,504.0","All","635.94%"
"Custer","12N","17W","7","112.6","","","12N-19W","1,663.1","Sections 1-12","422.37%"
"Custer","12N","17W","10","200.7","","","TOTAL","4,167.1","","1058.30%"
"Custer","12N","17W","11","238.0","","","","","",""
"Custer","12N","17W","12","5.4","","","$/NMA"," $ 3,500.00 ","",""
"Custer","12N","18W","4","76.1","","","Proceeds"," $ 14,584,753.62 ","",""
"Custer","12N","18W","10","10.0","","","","","",""
"Custer","12N","18W","19","5.0","","","","","",""
"Custer","12N","18W","30","26.0","","","","","",""
"Custer","12N","18W","33","90.0","","","","","",""
"Custer","12N","19W","3","322.2","","","","","",""
"Custer","12N","19W","4","329.7","","","","","",""
"Custer","12N","19W","9","304.7","","","","","",""
"Custer","12N","19W","10","336.3","","","","","",""
"Custer","12N","19W","11","370.0","","","","","",""
"Custer","12N","19W","15","320.0","","","","","",""
"Custer","12N","19W","26","40.0","","","","","",""
"Custer","12N","19W","27","26.3","","","","","",""
"Custer","12N","19W","30","529.4","","","","","",""
"Custer","12N","19W","31","114.4","","","","","",""
"Custer","12N","19W","32","27.7","","","","","",""
"Custer","12N","19W","33","13.8","","","","","",""
"Custer","12N","19W","34","193.9","","","","","",""
"Custer","12N","19W","35","198.8","","","","","",""
"Custer","13N","16W","19","5.0","","","","","",""
"Custer","13N","17W","6","369.7","","","","","",""
"Custer","13N","17W","7","550.3","","","","","",""
"Custer","13N","18W","1","5.0","","","","","",""
"Custer","13N","18W","3","18.7","","","","","",""
"Custer","13N","18W","4","40.3","","","","","",""
"Custer","13N","18W","5","150.0","","","","","",""
"Custer","13N","18W","6","8.9","","","","","",""
"Custer","13N","18W","7","32.0","","","","","",""
"Custer","13N","18W","8","36.8","","","","","",""
"Custer","13N","18W","12","90.0","","","","","",""
"Custer","13N","18W","19","483.8","","","","","",""
"Custer","13N","18W","24","17.8","","","","","",""
"Custer","13N","18W","25","15.0","","","","","",""
"Custer","13N","18W","26","10.0","","","","","",""
"Custer","13N","18W","27","60.4","","","","","",""
"Custer","13N","18W","29","77.5","","","","","",""
"Custer","13N","18W","30","322.7","","","","","",""
"Custer","13N","18W","31","162.8","","","","","",""
"Custer","13N","18W","33","124.8","","","","","",""
"Custer","13N","18W","34","5.0","","","","","",""
"Custer","13N","19W","2","40.7","","","","","",""
"Custer","13N","19W","3","14.6","","","","","",""
"Custer","13N","19W","6","10.0","","","","","",""
"Custer","13N","19W","9","6.3","","","","","",""
"Custer","13N","19W","10","0.0","","","","","",""
"Custer","13N","19W","14","357.8","","","","","",""
"Custer","13N","19W","15","0.0","","","","","",""
"Custer","13N","19W","16","72.2","","","","","",""
"Custer","13N","19W","20","215.6","","","","","",""
"Custer","13N","19W","21","132.7","","","","","",""
"Custer","13N","19W","22","321.0","","","","","",""
"Custer","13N","19W","23","409.6","","","","","",""
"Custer","13N","19W","24","308.2","","","","","",""
"Custer","13N","19W","26","112.9","","","","","",""
"Custer","13N","19W","27","362.3","","","","","",""
"Custer","13N","19W","30","25.0","","","","","",""
"Custer","13N","19W","31","25.0","","","","","",""
"Custer","13N","19W","33","90.3","","","","","",""
"Custer","13N","19W","34","105.7","","","","","",""
"Custer","13N","19W","36","240.0","","","","","",""
"Custer","14N","16W","20","10.0","","","","","",""
"Custer","14N","17W","1","132.4","","","","","",""
"Custer","14N","17W","12","152.3","","","","","",""
"Custer","14N","17W","20","437.4","","","","","",""
"Custer","14N","17W","29","170.2","","","","","",""
"Custer","14N","17W","34","45.0","","","","","",""
"Custer","14N","18W","4","80.0","","","","","",""
"Custer","14N","18W","7","6.7","","","","","",""
