"Unit Number (Primary)","SUM of Net Mineral Acres","SUM of W.I.","SUM of NRI","Operator","Unit Type","North_STR","Middle_STR","South_STR","Unit Size","Unit No.","Primary Target","Secondary Target","Key Offsets","Cherokee Tier","Red Fork Tier","Rank","Comments","Drilling Commentary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077","969.3","0.50483","0.39902","OSTRICH","Drillable","19-13N-18W","30-13N-18W","31-13N-18W","1920","1077","Cherokee Shale / Red Fork","Skinner / Cleveland","NADEL Quetzal (CHRK) / Peregrine (CHRK) / Puffin (CHRK) / Osprey (SKNR) / Cotinga (SKNR?)","1","1","1","Cherokee looks strong and given the depth and proximity to Quetzel etc.. should be very good. The Skinner section looks productive - would anticipate this to be very beneficial to the Cherokee or as a standalone target. The Red Fork also looks very good - thicker than 19N19W good - thicker package of net sand and likely higher GOR but it is present..and productive.. Cleveland also appears productive - has been tested and made gas.. NOTE: section is faulted in the southern most end of the 3 Mi unit.. Would drill from N to S along well control until fault encountered - steering line here would be very helpful - Given well control, this might be my FIRST unit to drill ","Drill from N-S due to fault on southern end.. Steering line would greatly benefit this unit and adjacent unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1065","849.3","0.66352","0.52634","OSTRICH","Drillable","3-11N-19W","","10-11N-19W","1280","1065","Cherokee Shale ","Cleveland Shale / Cottage Grove Shale","DVN Gadwall (CHRK) / MOC Carpenter (CHRK)","1","3","11","Cherokee appears to be somewhat granite-washy.. BUT a surprisng ammount of OIL in the system... Appears to be a very good prospect IMO..Atoka is very deep, but surprisingly makes Oil - secondary system ?? CLEVELAND / COTTAGE GROVE interval looks VERY interesting.. Hot shales that apear to have storage and at depth of present Cherokee core... NEED GAS LOG ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"851","780.6","0.40655","0.31932","OSTRICH","Drillable","22-13N-19W","27-13N-19W","34-13N-19W","1920","851","Cherokee Shale / Red Fork","Skinner / Cleveland","NADEL Quetzal (CHRK) / Peregrine (CHRK) / Puffin (CHRK) / Osprey (SKNR) / Cotinga (SKNR?)","1","2","4","Cherokee looks strong and given the depth and proximity to Quetzel etc.. should be very good. The Skinner section looks very productive - would anticipate this to be very beneficial to the Cherokee or as a standalone target. The Red Fork also looks good - thinner package of net sand and likely higher GOR but it is present..and productive.. Cleveland also appears productive - has been tested and made gas.. NOTE: section is faulted in the southern most end of the 3 Mi unit.. Would drill from N to S along well control until fault encountered - steering line here would be very helpful ","Drill from N-S due to fault on southern end.. Steering line would greatly benefit this unit and adjacent unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","728.7","0.56933","0.45349","OSTRICH","Drillable","14-13N-19W","","23-13N-19W","1280","21","Cherokee Shale / Red Fork","Skinner / Cleveland","NADEL Quetzal (CHRK) / Peregrine (CHRK) / Puffin (CHRK) / Osprey (SKNR)","1","2","2","Cherokee looks strong and given the depth and proximity to Quetzel etc.. should be very good. The Skinner section looks very productive - would anticipate this to be very beneficial to the Cherokee or as a standalone target. The Red Fork also looks good - thinner package of net sand and likely higher GOR but it is present..and productive.. Cleveland also appears productive - has been tested and made gas.. NOTE: section is faulted in the southern most end of the 3 Mi unit.. Would drill from N to S along well control until fault encountered - steering line here would be very helpful ","Limited Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","717.4","0.37363","0.29440","OSTRICH","Drillable","13-15N-19W","24-15N-19W","25-15N-19W","1920","","Cleveland / Skinner","Red Fork / Cherokee","MOC Patsy (CHRK) / Biotite (CHRK?)","2","2","7","Red Fork is a little dirtier than I would like.. larger gross section forcing sand numbers higher / lower NTG.. there is a dirty target present, but somewhat unproven.. Skinner is thin but present, optimal landing point over Cherokee .. Cleveland looks strong and should make a good well. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","666.7","0.52083","0.41667","OSTRICH","Drillable","26-17N-20W","","35-17N-20W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"852","658.6","0.51451","0.40160","OSTRICH","Drillable","3-12N-19W","","10-12N-19W","1280","852","Cherokee Shale / Red Fork","Cleveland Shale","NADEL Quetzal (CHRK) / Peregrine (CHRK) / Puffin (CHRK) / Osprey (SKNR)","1","2","6","Cherokee and Red Fork appear to be strong - very likely these are HIGH GOR targets - but should be prolific. Vertical tests show Red Fork to be gassy....VERY interesting unconventional signature in the CLEVELAND that looks like a Cherokee-type play... Need to examine further - well was DST'd in this CLVD section with ""show of gas"" - need to see MUDLOGS ","Drill from S-N up-dip and into possible feature out of section on the north side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1066","645.7","0.50445","0.40020","OSTRICH","Drillable","9-11N-19W","","16-11N-19W","1280","1066","Cherokee Shale ","Cleveland Shale / Cottage Grove Shale","DVN Gadwall (CHRK) / MOC Carpenter (CHRK)","1","3","10","Cherokee appears to be somewhat granite-washy.. BUT a surprisng ammount of OIL in the system... Appears to be a very good prospect IMO..Atoka is very deep, but surprisingly makes Oil - secondary system ?? CLEVELAND / COTTAGE GROVE interval looks VERY interesting.. Hot shales that apear to have storage and at depth of present Cherokee core... NEED GAS LOG ","Limited Control Drill from N-S into fault that mayexist on southern end","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1075","643.8","0.50294","0.39827","OSTRICH","Drillable","30-12N-19W","","31-12N-19W","1280","1075","Cherokee Shale / Red Fork","Atoka / Cleveland","DVN Gadwall (CHRK) / MOC Carpenter (CHRK)","2","1","8","Cherokee appears to be somewhat granite-washy.. but should be strong wells.. Red Fork is present and looks good - multiple landing points - Very likely Cherokee and Red Fork are both HIGH GOR given depth.. Atoka is very deep, but surprisingly makes Oil - secondary system ?? Cleveland is also present - need to explore further","Drill from S-N up-dip on well control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"902","641.1","0.50086","0.40069","OSTRICH","Drillable","15-15N-17W","","22-15N-17W","1280","902","Red Fork","Atoka / Cottage Grove","NADEL Illy (RDFK) / MOC Gary Beadles (RDFK) / Sawatzky (SKNR?) / Edward (RDFK?)","3","1","3","Red Fork is thin but is present and productive, chasing a ""dirty Red Fork"" lookalike - analagous to the Hatcher Farms/Edna/4J farms etc... ","Drill S-N on well control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1072","634.5","0.50775","0.39662","OSTRICH","Drillable","4-12N-19W","","9-12N-19W","1249.62","1072","Cherokee Shale / Red Fork","Cleveland Shale","NADEL Quetzal (CHRK) / Peregrine (CHRK) / Puffin (CHRK) / Osprey (SKNR)","1","1","5","Cherokee and Red Fork appear to be strong - very likely these are HIGH GOR targets - but should be prolific. Vertical tests show Red Fork to be gassy....VERY interesting unconventional signature in the CLEVELAND that looks like a Cherokee-type play... Need to examine further - well was DST'd in this CLVD section with ""show of gas"" - need to see MUDLOGS ","Drill from S-N up-dip and into possible feature out of section on the north side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1080","573.6","0.44810","0.35798","OSTRICH","Drillable","20-14N-17W","","29-14N-17W","1280","1080","Red Fork","Atoka / Cleveland / Cottage Grove","NA / MOC Clint (RDFK)","3","2","13","Red Fork is thin but is present and should be productive, chasing a ""dirty Red Fork"" lookalike - would like more data","Limited control - drill from N to S on control point","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651","510.3","0.39866","0.31494","OSTRICH","Drillable","6-13N-17W","","7-13N-17W","1280","651","Cherokee Shale ","Cleveland","NA / MOC Clint (RDFK)","2","3","12","Tier 2 Cherokee Shale given proximity to existing produciton - but is deeper than N 13N19W so should have strong pressure. Past the Red Fork shelf margin, so expanded Red Fork section with limited target development. Cleveland looks decent and should be a possible target.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648","391.4","0.30580","0.24594","OSTRICH","Potential Drillable","2-15N-19W","","11-15N-19W","1280","648","Red Fork / Skinner","Skinner / Cleveland","","2","2","3","Red Fork is better to the north in section 2 - along with Cleveland . DST's throughout the Red Fork section that show GCM - proving the productive nature of the dirty red fork seciton.. Would Be ideal to pair with section 35 to the north as it is better than section 11.. Dirty Skinner target looks pretty interesting .. it might be the best target here","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
