Universal Unit ID,Legacy Unit Number,Cinco Alias,STR North,STR Middle,STR South,STR List,Unit Size (Acres),Formation,County,Operator,Unit Type,Spacing Order,Pooling Order,ID Status,Rank,Cherokee Tier,Total NMA,Lease Count,Calculated WI,Well Count,Well Names
131819WU01,1077,Cinco 1,19-13N-18W,30-13N-18W,31-13N-18W,19-13N-18W; 30-13N-18W; 31-13N-18W,1920,,Custer,CINCO,Drillable,,,provisional,1,1,969.2775,8,0.504832,0,
111903WU01,1065,Cinco 2,3-11N-19W,,10-11N-19W,3-11N-19W; 10-11N-19W,1280,,Washita,CINCO,Drillable,,,provisional,11,1,849.32,5,0.663531,0,
131922WU01,851,Cinco 3,22-13N-19W,27-13N-19W,34-13N-19W,22-13N-19W; 27-13N-19W; 34-13N-19W,1920,,Custer,CINCO,Drillable,,,provisional,4,1,784.8047,9,0.408752,0,
131914WU01,21,Cinco 4,14-13N-19W,,23-13N-19W,14-13N-19W; 23-13N-19W,1280,,Custer,CINCO,Drillable,,,provisional,2,1,748.0786,12,0.584436,0,
151913WU01,A14,Cinco 5,13-15N-19W,24-15N-19W,25-15N-19W,13-15N-19W; 24-15N-19W; 25-15N-19W,1920,,Custer,CINCO,Drillable,,,provisional,7,2,717.37,43,0.37363,0,
172026WU01,A40,Cinco 6,26-17N-20W,,35-17N-20W,26-17N-20W; 35-17N-20W,1280,,Dewey,,Drillable,,,provisional,,,866.6667,4,0.677083,0,
121903WU01,852,Cinco 7,3-12N-19W,,10-12N-19W,3-12N-19W; 10-12N-19W,1280,,Custer,CINCO,Drillable,,,provisional,6,1,658.538,5,0.514483,0,
111909WU01,1066,Cinco 8,9-11N-19W,,16-11N-19W,9-11N-19W; 16-11N-19W,1280,,Washita,CINCO,Drillable,,,provisional,10,1,645.72,5,0.504469,0,
121930WU01,1075,Cinco 9,30-12N-19W,,31-12N-19W,30-12N-19W; 31-12N-19W,1280,,Custer,CINCO,Drillable,,,provisional,8,2,643.81,9,0.502977,0,
151715WU01,902,Cinco 10,15-15N-17W,,22-15N-17W,15-15N-17W; 22-15N-17W,1280,,Custer,CINCO,Drillable,,,provisional,3,3,641.1,10,0.500859,0,
121904WU01,1072,Cinco 11,4-12N-19W,,9-12N-19W,4-12N-19W; 9-12N-19W,1249.62,,Custer,CINCO,Drillable,,,provisional,5,1,634.56,7,0.507802,0,
141720WU01,1080,Cinco 12,20-14N-17W,,29-14N-17W,20-14N-17W; 29-14N-17W,1280,,Custer,CINCO,Drillable,,,provisional,13,3,597.57,44,0.466852,0,
131706WU01,651,Cinco 13,6-13N-17W,,7-13N-17W,6-13N-17W; 7-13N-17W,1280,,Custer,CINCO,Drillable,,,provisional,12,2,715.1403,4,0.558703,0,
151902WU01,648,Cinco 14,2-15N-19W,,11-15N-19W,2-15N-19W; 11-15N-19W,1280,,Custer,CINCO,Potential Drillable,,,provisional,3,2,391.42,16,0.305797,0,
141815WU01,A26,Cinco 15,15-14N-18W,,22-14N-18W,15-14N-18W; 22-14N-18W,1280,,Custer,CINCO,Drillable,,,provisional,9,2,382.2167,11,0.298607,0,
121902WU01,1070,Cinco 16,2-12N-19W,,11-12N-19W,2-12N-19W; 11-12N-19W,1280,,Custer,CINCO,Potential Drillable,,,provisional,1,1,370,2,0.289063,0,
111908WU01,1067,Cinco 17,8-11N-19W,,17-11N-19W,8-11N-19W; 17-11N-19W,1280,,Washita,CINCO,Potential Drillable,,,provisional,9,2,336.32,4,0.26275,0,
151717WU01,1085,Cinco 18,17-15N-17W,,20-15N-17W,17-15N-17W; 20-15N-17W,1280,,Custer,CINCO,Potential Drillable,,,provisional,4,3,325,11,0.253906,0,
121915WU01,1076,Cinco 19,15-12N-19W,,22-12N-19W,15-12N-19W; 22-12N-19W,1280,,Custer,CINCO,Potential Drillable,,,provisional,2,1,320,2,0.25,0,
131913WU01,640,Cinco 20,13-13N-19W,,24-13N-19W,13-13N-19W; 24-13N-19W,1280,,Custer,UNKNOWN,Non-Op,,,provisional,,,308.278,4,0.240842,0,
141701WU01,522,Cinco 21,1-14N-17W,12-14N-17W,13-14N-17W,1-14N-17W; 12-14N-17W; 13-14N-17W,1920,,Custer,ANTHEM,Potential Drillable,,,provisional,,,284.7219,2,0.148293,0,
121932WU01,4,Cinco 22,32-12N-19W,,5-11N-19W,32-12N-19W; 5-11N-19W,1280,,Custer,CRAWLEY,Potential Drillable,,,provisional,8,2,273.87,4,0.213961,0,
131925WU01,638,Cinco 23,25-13N-19W,,36-13N-19W,25-13N-19W; 36-13N-19W,1280,,Custer,UNKNOWN,Non-Op,,,provisional,,,240,5,0.1875,0,
121926WU01,11,Cinco 24,26-12N-19W,,35-12N-19W,26-12N-19W; 35-12N-19W,1280,,Custer,CRAWLEY,Non-Op,,,provisional,,,238.8,6,0.186563,0,
131917WU01,1078,Cinco 25,17-13N-19W,,20-13N-19W,17-13N-19W; 20-13N-19W,1280,,Custer,,Non-Op,,,provisional,,,207.4037,5,0.162034,0,
121927WU01,12,Cinco 26,27-12N-19W,,34-12N-19W,27-12N-19W; 34-12N-19W,1280,,Custer,CRAWLEY,Non-Op,,,provisional,,,208.6498,6,0.163008,0,
131916WU01,53,Cinco 27,16-13N-19W,,21-13N-19W,16-13N-19W; 21-13N-19W,1280,,Custer,NADEL & GUSSMAN,Non-Op,,,provisional,,,200.393,7,0.156557,0,
121933WU01,5,Cinco 28,33-12N-19W,,4-11N-19W,33-12N-19W; 4-11N-19W,1280,,Custer,CRAWLEY,Non-Op,,,provisional,,,142.12,4,0.111031,0,
142335WU01,1117,Cinco 29,35-14N-23W,,2-13N-23W,35-14N-23W; 2-13N-23W,1280,,Roger Mills,CRAWLEY,Non-Op,,,provisional,,,135.9991,1,0.106249,1,BEATY 1-2-35CHX
142332WU01,A31,Cinco 30,32-14N-23W,,5-13N-23W,32-14N-23W; 5-13N-23W,1280,,Roger Mills,MEWBOURNE,Non-Op,,,provisional,,,129.628,2,0.101272,0,
131828WU01,A36,Cinco 31,28-13N-18W,,33-13N-18W,28-13N-18W; 33-13N-18W,1280,,Custer,,Non-Op,,,provisional,,,124.719,2,0.097437,0,
